Šifra;Naziv županije;Naziv JLS-a;2012.;2013.;2014.;2015.;2016.;2017.;2018.;;
1490;Sisa?ko-moslava?ka;HRVATSKA DUBICA;.;.;.;.;.;.;.;;
1503;Sisa?ko-moslava?ka;HRVATSKA KOSTAJNICA;z;.;z;z;z;z;z;;
1520;Krapinsko-zagorska;HUM NA SUTLI;z;z;z;z;z;z;z;;
1538;Splitsko-dalmatinska;HVAR;12;18;12;z;19;26;25;;
1546;Vukovarsko-srijemska;ILOK;.;.;.;z;z;z;z;;
1554;Splitsko-dalmatinska;IMOTSKI;13;11;z;z;12;z;11;;
1562;Varaždinska;IVANEC;17;10;19;17;24;13;21;;
1589;Zagreba?ka;IVANI?-GRAD;21;16;29;24;24;27;32;;
1597;Vukovarsko-srijemska;IVANKOVO;.;.;z;.;z;.;z;;
1619;Bjelovarsko-bilogorska;IVANSKA;.;.;.;.;.;.;.;;
6092;Osje?ko-baranjska;JAGODNJAK;.;.;.;.;.;.;.;;
1635;Zagreba?ka;JAKOVLJE;.;z;.;.;.;.;.;;
1643;Požeško-slavonska;JAKŠI?;.;.;.;.;.;.;.;;
1651;Varaždinska;JALŽABET;.;.;.;.;.;.;.;;
5991;Dubrova?ko-neretvanska;JANJINA;z;z;z;.;.;.;.;;
1660;Vukovarsko-srijemska;JARMINA;.;.;.;.;.;.;.;;
1678;Zadarska;JASENICE;z;z;z;z;13;z;z;;
1686;Sisa?ko-moslava?ka;JASENOVAC;.;.;.;.;.;.;z;;
1694;Zagreba?ka;JASTREBARSKO;z;z;z;15;32;12;25;;
1708;Primorsko-goranska;JELENJE;.;z;z;z;z;.;z;;
1716;Splitsko-dalmatinska;JELSA;z;z;z;z;z;z;z;;
5525;Krapinsko-zagorska;JESENJE;.;.;.;.;.;.;.;;
1724;Karlova?ka;JOSIPDOL;.;.;z;.;.;.;z;;
1732;Zadarska;KALI;z;.;.;z;z;z;z;;
5592;Koprivni?ko-križeva?ka;KALINOVAC;.;.;.;z;z;.;z;;
5606;Koprivni?ko-križeva?ka;KALNIK;.;.;.;.;.;.;.;;
6238;Karlova?ka;KAMANJE;.;.;.;.;.;.;.;;
1759;Istarska;KANFANAR;.;z;z;z;z;.;z;;
1767;Bjelovarsko-bilogorska;KAPELA;.;z;z;.;.;.;z;;
1775;Požeško-slavonska;KAPTOL;z;.;.;z;.;.;z;;
1783;Li?ko-senjska;KARLOBAG;14;z;11;z;10;13;z;;
1791;Karlova?ka;KARLOVAC;264;214;240;260;437;251;278;;
5967;Istarska;KAROJBA;.;.;.;z;.;.;.;;
1805;Primorsko-goranska;KASTAV;51;23;35;43;57;88;57;;
1813;Splitsko-dalmatinska;KAŠTELA;51;66;65;69;95;135;173;;
5975;Istarska;KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA;z;z;11;z;.;z;z;;
1830;Šibensko-kninska;KIJEVO;.;.;.;.;.;.;.;;
1848;Šibensko-kninska;KISTANJE;z;.;.;.;z;.;.;;
1856;Brodsko-posavska;KLAKAR;.;.;.;.;.;.;z;;
1864;Primorsko-goranska;KLANA;z;z;z;z;.;z;z;;
1872;Krapinsko-zagorska;KLANJEC;z;z;.;.;z;.;.;;
1899;Varaždinska;KLENOVNIK;.;z;.;z;.;.;.;;
1902;Zagreba?ka;KLIN?A SELA;z;.;z;23;14;z;z;;
1929;Splitsko-dalmatinska;KLIS;z;z;z;14;11;15;26;;
1937;Zagreba?ka;KLOŠTAR IVANI?;.;z;.;.;z;z;z;;
1945;Koprivni?ko-križeva?ka;KLOŠTAR PODRAVSKI;z;.;.;.;.;.;z;;
1953;Osje?ko-baranjska;KNEŽEVI VINOGRADI;z;.;.;z;z;.;z;;
1961;Šibensko-kninska;KNIN;49;35;59;33;48;50;82;;
6220;Zadarska;KOLAN;29;42;72;42;48;70;102;;
1970;Splitsko-dalmatinska;KOMIŽA;.;z;.;z;z;z;z;;
1988;Dubrova?ko-neretvanska;KONAVLE;35;43;34;23;24;12;29;;
1996;Bjelovarsko-bilogorska;KON?ANICA;.;.;.;.;.;.;.;;
2003;Krapinsko-zagorska;KONJŠ?INA;z;z;z;z;z;z;z;;
2011;Koprivni?ko-križeva?ka;KOPRIVNICA;88;49;96;64;77;125;156;;
2020;Koprivni?ko-križeva?ka;KOPRIVNI?KI BREGI;z;z;.;.;z;.;z;;
2038;Koprivni?ko-križeva?ka;KOPRIVNI?KI IVANEC;.;.;.;.;.;.;.;;
2046;Dubrova?ko-neretvanska;KOR?ULA;z;14;13;z;26;39;18;;
5380;Primorsko-goranska;KOSTRENA;25;23;26;39;15;26;29;;
2054;Osje?ko-baranjska;KOŠKA;z;.;.;.;.;.;.;;
2062;Me?imurska;KOTORIBA;.;.;z;.;z;.;z;;
2089;Krapinsko-zagorska;KRALJEVEC NA SUTLI;.;.;.;.;.;.;.;;
2097;Primorsko-goranska;KRALJEVICA;10;z;20;11;24;12;20;;
2119;Krapinsko-zagorska;KRAPINA;34;41;40;14;33;21;23;;
2127;Krapinsko-zagorska;KRAPINSKE TOPLICE;z;z;13;z;z;z;17;;
5339;Zagreba?ka;KRAŠI?;.;z;z;.;.;.;.;;
5452;Zagreba?ka;KRAVARSKO;.;.;.;.;.;.;.;;
2135;Zagreba?ka;KRIŽ;z;z;z;z;z;z;10;;
2143;Koprivni?ko-križeva?ka;KRIŽEVCI;22;23;14;19;27;31;29;;
2151;Primorsko-goranska;KRK;56;64;62;71;76;90;77;;
2160;Karlova?ka;KRNJAK;.;.;.;.;.;.;.;;
2178;Istarska;KRŠAN;z;z;z;z;z;z;z;;
5720;Zadarska;KUKLJICA;z;z;z;.;z;z;z;;
2194;Dubrova?ko-neretvanska;KULA NORINSKA;.;.;.;.;z;.;.;;
5533;Krapinsko-zagorska;KUMROVEC;z;z;.;.;z;.;.;;
