Sifra,Zupanija,JLS,2012,2013,2014,2015,2016,2017,2018
2674,Splitsko-dalmatinska,MILNA,11,5,5,0,5,10,5
2682,Dubrova?ko-neretvanska,MLJET,0,0,0,0,0,5,0
2704,Koprivni?ko-križeva?ka,MOLVE,0,0,0,5,0,0,5
2739,Primorsko-goranska,MOŠ?ENI?KA DRAGA,5,5,5,5,5,5,5
2747,Istarska,MOTOVUN - MONTONA,0,0,5,5,0,0,5
2755,Primorsko-goranska,MRKOPALJ,5,5,5,5,0,0,5
876,Splitsko-dalmatinska,MU?,0,0,0,0,0,0,0
2763,Me?imurska,MURSKO SREDIŠ?E,5,0,5,10,5,0,20
6173,Šibensko-kninska,MURTER - KORNATI,5,5,5,5,20,28,18
2780,Osje?ko-baranjska,NAŠICE,45,24,32,40,45,44,48
2798,Me?imurska,NEDELIŠ?E,0,0,5,0,0,0,5
6122,Vukovarsko-srijemska,NEGOSLAVCI,0,0,0,0,0,0,0
2801,Splitsko-dalmatinska,NEREŽIŠ?A,0,0,0,0,0,0,5
2810,Karlova?ka,NETRETI?,0,0,0,5,0,0,0
2950,Vukovarsko-srijemska,NIJEMCI,0,0,0,0,0,0,0
2828,5adarska,NIN,36,11,21,50,26,38,69
2836,Viroviti?ko-podravska,NOVA BUKOVICA,0,0,0,0,0,5,0
2844,Brodsko-posavska,NOVA GRADIŠKA,15,34,22,24,22,29,30
2852,Brodsko-posavska,NOVA KAPELA,0,0,5,0,0,0,0
2879,Bjelovarsko-bilogorska,NOVA RA?A,0,0,0,0,5,0,5
2887,Li?ko-senjska,NOVALJA,254,170,227,158,189,215,230
5541,Krapinsko-5agorska,NOVI GOLUBOVEC,0,0,0,0,0,0,0
2895,Varaždinska,NOVI MAROF,5,5,5,5,5,5,5
2909,Primorsko-goranska,NOVI VINODOLSKI,26,39,65,47,61,59,92
5371,5adarska,NOVIGRAD,0,5,5,5,5,192,173
2917,Istarska,NOVIGRAD - CITTANOVA,0,0,0,0,0,0,5
2925,Koprivni?ko-križeva?ka,NOVIGRAD PODRAVSKI,0,5,5,0,0,0,5
5614,Koprivni?ko-križeva?ka,NOVO VIRJE,0,0,0,0,0,0,5
2933,Sisa?ko-moslava?ka,NOVSKA,5,5,5,5,5,5,12
2941,Vukovarsko-srijemska,NUŠTAR,0,5,0,0,0,0,5
2968,5adarska,OBROVAC,5,5,27,20,15,13,19
2976,Karlova?ka,OGULIN,16,14,12,11,16,23,26
5886,Splitsko-dalmatinska,OKRUG,57,54,46,51,38,63,88
2992,Brodsko-posavska,OKU?ANI,5,5,0,5,5,0,5
3000,Splitsko-dalmatinska,OMIŠ,56,31,31,32,37,31,49
3018,Primorsko-goranska,OMIŠALJ,36,50,55,55,57,52,59
3026,Primorsko-goranska,OPATIJA,89,102,132,144,117,109,125
3034,Brodsko-posavska,OPRISAVCI,0,0,0,0,0,0,0
3042,Istarska,OPRTALJ - PORTOLE,0,0,0,0,0,0,0
3069,Dubrova?ko-neretvanska,OPU5EN,5,5,5,5,5,0,5
3077,Viroviti?ko-podravska,ORAHOVICA,5,5,5,5,10,5,5
3085,Dubrova?ko-neretvanska,OREBI?,5,5,5,5,10,15,5
6050,Me?imurska,OREHOVICA,0,0,0,0,5,0,0
3093,Brodsko-posavska,ORIOVAC,5,0,5,0,5,5,5
5428,5agreba?ka,ORLE,0,0,0,0,0,0,0
